task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
navi_bench/homes/san_diego_beds_sqft/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for sale in San Diego, CA with 2 to 5 bedrooms and having area of at least 1,000 square feet."", ""location"": ""San Diego, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/san-diego-ca/2-to-5-bedroom/?sfmin=1000&ssit=Homes%20for%20sale%20in%20San%20Diego,%20CA%20with%202%20to%205%20bedrooms%20and%20at%20least%201,000%20square%20feet.""]]}",real,homes,realestate,san_diego_beds_sqft,null,null,null,validation,null
navi_bench/homes/san_diego_price_per_sqft/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for sale in San Diego, CA with maximum price up to $600 per square foot."", ""location"": ""San Diego, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/san-diego-ca/?pp-max=600&ssit=Homes%20for%20sale%20in%20San%20Diego,%20CA%20with%20prices%20up%20to%20$600%20per%20square%20foot.""]]}",real,homes,realestate,san_diego_price_per_sqft,null,null,null,validation,null
navi_bench/homes/san_diego_parking_year_built/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for sale in San Diego, CA with at least 2 parking spaces and built after 2010."", ""location"": ""San Diego, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/san-diego-ca/?yb-min=2010&parking=2&ssit=Homes%20for%20sale%20in%20San%20Diego,%20CA%20with%20at%20least%202%20parking%20spaces%20and%20built%20after%202010.""]]}",real,homes,realestate,san_diego_parking_year_built,null,null,null,validation,null
navi_bench/homes/san_diego_beds_stories/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for sale in San Diego, CA with 3 to 4 bedrooms and having at least 1 storey."", ""location"": ""San Diego, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/san-diego-ca/3-to-4-bedroom/?st-min=1&ssit=San%20Diego,%20CA""]]}",real,homes,realestate,san_diego_beds_stories,null,null,null,validation,null
navi_bench/homes/san_diego_new_construction/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find new construction homes for sale in San Diego, CA."", ""location"": ""San Diego, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/san-diego-ca/new-construction/?ssit=San%20Diego,%20CA""]]}",real,homes,realestate,san_diego_new_construction,null,null,null,validation,null
navi_bench/homes/san_diego_ranch_style/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find Ranch-style homes for sale in San Diego, CA."", ""location"": ""San Diego, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/san-diego-ca/ranch-style-homes/?ssit=San%20Diego,%20CA""]]}",real,homes,realestate,san_diego_ranch_style,null,null,null,validation,null
navi_bench/homes/san_diego_pool_balcony/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for sale in San Diego, CA having a private pool and balcony."", ""location"": ""San Diego, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/san-diego-ca/?am=7,37&ssit=San%20Diego,%20CA""]]}",real,homes,realestate,san_diego_pool_balcony,null,null,null,validation,null
navi_bench/homes/san_diego_beds_baths_gated/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for sale in San Diego, CA with 1 to 3 bedrooms, exactly 2 bathrooms and located in a gated community."", ""location"": ""San Diego, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/san-diego-ca/1-to-3-bedroom/?am=40&bath-min=2&bath-max=2&ssit=San%20Diego,%20CA""]]}",real,homes,realestate,san_diego_beds_baths_gated,null,null,null,validation,null
navi_bench/homes/san_diego_fireplace/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for sale in San Diego, CA having a fireplace."", ""location"": ""San Diego, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/san-diego-ca/fireplace/?ssit=Homes%20for%20sale%20with%20a%20fireplace%20in%20San%20Diego,%20CA.""]]}",real,homes,realestate,san_diego_fireplace,null,null,null,validation,null
navi_bench/homes/san_diego_rent_sqft_price/1,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for rent in San Diego, CA having area of at least 750 square feet and a maximum price of $2,500."", ""location"": ""San Diego, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/san-diego-ca/homes-for-rent/?sfmin=750&price-max=2500&ssit=San%20Diego,%20CA""]]}",real,homes,realestate,san_diego_rent_sqft_price,null,null,null,validation,null
navi_bench/homes/san_diego_rent_beds_baths_range/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for rent in San Diego, CA with 2 to 4 bedrooms and 2 to 3 bathrooms."", ""location"": ""San Diego, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/san-diego-ca/homes-for-rent/2-to-4-bedroom/?bath-min=2&bath-max=3&ssit=San%20Diego,%20CA""]]}",real,homes,realestate,san_diego_rent_beds_baths_range,null,null,null,validation,null
navi_bench/homes/san_diego_rent_school_rating/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for rent in San Diego, CA with a GreatSchools Rating between 8 and 10."", ""location"": ""San Diego, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/san-diego-ca/homes-for-rent/?gsr-min=8&gsr-max=10&ssit=San%20Diego,%20CA""]]}",real,homes,realestate,san_diego_rent_school_rating,null,null,null,validation,null
navi_bench/homes/san_diego_studio_houses_rent/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find studio houses (no bedrooms) for rent in San Diego, CA."", ""location"": ""San Diego, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/san-diego-ca/houses-for-rent/studio/?ssit=San%20Diego,%20CA""]]}",real,homes,realestate,san_diego_studio_houses_rent,null,null,null,validation,null
navi_bench/homes/san_diego_rent_laundry_pet/1,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find pet-friendly homes for rent in San Diego, CA with laundry facilities."", ""location"": ""San Diego, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/san-diego-ca/homes-for-rent/?am=33,70&ssit=San%20Diego,%20CA""]]}",real,homes,realestate,san_diego_rent_laundry_pet,null,null,null,validation,null
navi_bench/homes/san_diego_rent_furnished_dishwasher/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find furnished homes for rent in San Diego, CA with 2 to 5 bedrooms and a dishwasher."", ""location"": ""San Diego, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/san-diego-ca/homes-for-rent/2-to-5-bedroom/?am=36,77&ssit=San%20Diego,%20CA""]]}",real,homes,realestate,san_diego_rent_furnished_dishwasher,null,null,null,validation,null
navi_bench/homes/san_diego_sold_beds_price/1,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find sold homes in San Diego, CA with 2 to 5 bedrooms and a maximum price of $700,000."", ""location"": ""San Diego, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/san-diego-ca/sold/2-to-5-bedroom/?price-max=700000&ssit=San%20Diego,%20CA""]]}",real,homes,realestate,san_diego_sold_beds_price,null,null,null,validation,null
navi_bench/homes/san_diego_sold_beds_year/1,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find sold homes in San Diego, CA with exactly 3 bedrooms built after 2020."", ""location"": ""San Diego, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/san-diego-ca/sold/3-bedroom/?yb-min=2020&ssit=San%20Diego,%20CA""]]}",real,homes,realestate,san_diego_sold_beds_year,null,null,null,validation,null
navi_bench/homes/san_diego_sold_house_multifamily/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find sold houses and multi-family homes in San Diego, CA."", ""location"": ""San Diego, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/san-diego-ca/sold/?property_type=16,1&ssit=San%20Diego,%20CA""]]}",real,homes,realestate,san_diego_sold_house_multifamily,null,null,null,validation,null
navi_bench/homes/san_diego_sold_sqft_range/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find sold homes in San Diego, CA having an area between 1,500 to 2,000 square feet."", ""location"": ""San Diego, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/san-diego-ca/sold/?sfmin=1500&sfmax=2000&ssit=San%20Diego,%20CA""]]}",real,homes,realestate,san_diego_sold_sqft_range,null,null,null,validation,null
navi_bench/homes/san_diego_sold_ppsqft_range/1,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find sold homes in San Diego, CA having price per square foot between $350 and $750."", ""location"": ""San Diego, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/san-diego-ca/sold/?pp-min=350&pp-max=750&ssit=San%20Diego,%20CA""]]}",real,homes,realestate,san_diego_sold_ppsqft_range,null,null,null,validation,null
navi_bench/homes/san_diego_sold_lot_stories/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find sold homes in San Diego, CA with a lot size of at least 5,000 square feet and at least 2 storeys."", ""location"": ""San Diego, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/san-diego-ca/sold/?ls-min=5000sf&st-min=2&ssit=San%20Diego,%20CA""]]}",real,homes,realestate,san_diego_sold_lot_stories,null,null,null,validation,null
navi_bench/homes/san_diego_sold_land_price/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find lands sold in San Diego, CA priced between $1,000,000 and $3,000,000."", ""location"": ""San Diego, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/san-diego-ca/sold/?property_type=32&price-min=1000000&price-max=3000000&ssit=Homes%20sold%20for%20lands%20priced%20between%20$1M%20and%20$3M%20in%20San%20Diego,%20CA.""]]}",real,homes,realestate,san_diego_sold_land_price,null,null,null,validation,null
navi_bench/homes/las_vegas_parking/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for sale in Las Vegas, NV with at least 2 parking spaces."", ""location"": ""Las Vegas, NV, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/las-vegas-nv/?parking=2""]]}",real,homes,realestate,las_vegas_parking,null,null,null,validation,null
navi_bench/homes/las_vegas_studio_2bed_pool/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for sale in Las Vegas, NV having Studio to 2 bedrooms and a community pool."", ""location"": ""Las Vegas, NV, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/las-vegas-nv/studio-to-2-bedroom/community-pool/""]]}",real,homes,realestate,las_vegas_studio_2bed_pool,null,null,null,validation,null
navi_bench/homes/las_vegas_ppsqft_max/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for sale in Las Vegas, NV with a price per square foot up to $200."", ""location"": ""Las Vegas, NV, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/las-vegas-nv/?pp-max=200""]]}",real,homes,realestate,las_vegas_ppsqft_max,null,null,null,validation,null
navi_bench/homes/las_vegas_3bed_2bath_exact/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for sale in Las Vegas, NV with exactly 3 bedrooms and exactly 2 bathrooms."", ""location"": ""Las Vegas, NV, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/las-vegas-nv/3-bedroom/?bath-min=2&bath-max=2""]]}",real,homes,realestate,las_vegas_3bed_2bath_exact,null,null,null,validation,null
navi_bench/homes/las_vegas_lot_size_acres/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for sale in Las Vegas, NV with a lot size of at least 0.5 acres."", ""location"": ""Las Vegas, NV, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/las-vegas-nv/?ls-min=0050""]]}",real,homes,realestate,las_vegas_lot_size_acres,null,null,null,validation,null
navi_bench/homes/las_vegas_laundry_pet/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for sale in Las Vegas, NV with in-unit laundry and pet-friendly units."", ""location"": ""Las Vegas, NV, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/las-vegas-nv/?am=32,31&ssit=Homes%20for%20sale%20in%20Las%20Vegas,%20NV%20with%20in-unit%20laundry%20and%20pet-friendly%20units.""]]}",real,homes,realestate,las_vegas_laundry_pet,null,null,null,validation,null
navi_bench/homes/las_vegas_beds_sqft_price/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for sale in Las Vegas, NV with 3 to 5 bedrooms, priced up to $800,000, and having a minimum area of 3,000 square feet."", ""location"": ""Las Vegas, NV, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/las-vegas-nv/3-to-5-bedroom/?sfmin=3000&price-max=800000&ssit=For%20sale%20in%20Las%20Vegas,%20NV,%20homes%20with%203%20to%205%20bedrooms,%20priced%20up%20to%20$800,000,%20and%20with%20a%20minimum%20of%203,000%20square%20feet.""]]}",real,homes,realestate,las_vegas_beds_sqft_price,null,null,null,validation,null
navi_bench/homes/las_vegas_2bed_price/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for sale in Las Vegas, NV with exactly 2 bedrooms and a maximum price of $450,000."", ""location"": ""Las Vegas, NV, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/las-vegas-nv/2-bedroom/?price-max=450000&ssit=Las%20Vegas,%20NV""]]}",real,homes,realestate,las_vegas_2bed_price,null,null,null,validation,null
navi_bench/homes/las_vegas_year_built/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find homes for sale in Las Vegas, NV built after 2022."", ""location"": ""Las Vegas, NV, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/las-vegas-nv/?yb-min=2022&ssit=Las%20Vegas,%20NV""]]}",real,homes,realestate,las_vegas_year_built,null,null,null,validation,null
navi_bench/homes/las_vegas_property_types_beds/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find single-family homes, townhouses, and condos for sale in Las Vegas, NV with exactly 3 bedrooms."", ""location"": ""Las Vegas, NV, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/las-vegas-nv/3-bedroom/?property_type=1,2,4&ssit=Homes%20for%20sale%20in%20Las%20Vegas,%20NV%20featuring%20single-family%20homes,%20townhouses,%20and%20condos%20with%20at%20least%203%20bedrooms.""]]}",real,homes,realestate,las_vegas_property_types_beds,null,null,null,validation,null
navi_bench/homes/new_homes_map_sqft_beds/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find new homes for sale in Las Vegas, NV area with 1 to 3 bedrooms and having area between 1,000 to 1,250 square feet."", ""location"": ""Las Vegas, NV, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/new-homes/for-sale/las-vegas-nv/?sfmin=1000&sfmax=1250&bed-min=1&bed-max=3&ssit=New%20homes%20in%20Las%20Vegas,%20NV%20with%201%20to%203%20bedrooms%20and%20floor%20areas%20between%201,000%20to%201,250%20square%20feet.""]]}",real,homes,realestate,new_homes_map_sqft_beds,null,null,null,validation,null
navi_bench/homes/new_homes_map_amenities/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find new homes for sale in Las Vegas, NV area with a dishwasher and a main floor bedroom."", ""location"": ""Las Vegas, NV, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/new-homes/for-sale/las-vegas-nv/?am=36,75&ssit=New%20homes%20in%20Las%20Vegas,%20NV%20with%20dishwasher%20and%20main%20floor%20bedroom.""]]}",real,homes,realestate,new_homes_map_amenities,null,null,null,validation,null
navi_bench/homes/new_homes_map_mobile/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find new mobile homes for sale in Las Vegas, NV area."", ""location"": ""Las Vegas, NV, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/new-homes/for-sale/las-vegas-nv/?property_type=64&ssit=New%20homes%20in%20Las%20Vegas,%20NV%20that%20are%20mobile%20homes.""]]}",real,homes,realestate,new_homes_map_mobile,null,null,null,validation,null
navi_bench/homes/new_homes_map_property_parking/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find new single-family homes and co-ops for sale in the Las Vegas, NV area with at least 2 parking spaces."", ""location"": ""Las Vegas, NV, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/new-homes/for-sale/las-vegas-nv/?property_type=1,256&parking=2&nhs=3&ssit=New%20homes%20in%20Las%20Vegas,%20NV%20that%20are%20single-family%20homes%20or%20co-ops,%20have%20at%20least%202%20parking%20spaces,%20and%20are%20for%20sale.""]]}",real,homes,realestate,new_homes_map_property_parking,null,null,null,validation,null
navi_bench/homes/new_homes_map_status/0,"{""_target_"": ""navi_bench.homes.homes_url_match.generate_task_config"", ""url"": ""https://www.homes.com/"", ""task"": ""Find new homes for sale in Las Vegas, NV."", ""location"": ""Las Vegas, NV, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.homes.com/new-homes/for-sale/las-vegas-nv/?nhs=3&ssit=New%20homes%20in%20Las%20Vegas,%20NV%20that%20are%20for%20sale.""]]}",real,homes,realestate,new_homes_map_status,null,null,null,validation,null
